name,donor,organ,organ_context,roi,resolution_um,beamline,nx,ny,nz,contrast_low,contrast_high,size_gb_uncompressed
FO-20-129_lung_left_upper_lobe_VOI-aa_0.65um_bm05,FO-20-129,lung,left_upper_lobe,VOI-aa,0.65,5,3794,3794,7626,15545,22743,219.54393787200001
FO-20-129_lung_left_upper_lobe_VOI-01.2b_2.22um_bm05,FO-20-129,lung,left_upper_lobe,VOI-01.2b,2.22,5,3845,3845,50838,17480,36263,1503.1805259
FO-20-129_lung_left_upper_lobe_VOI-03.2_2.22um_bm05,FO-20-129,lung,left_upper_lobe,VOI-03.2,2.22,5,3848,3848,20119,8950,21600,595.808250752
FO-20-129_lung_left_upper_lobe_VOI-08.2_2.22um_bm05,FO-20-129,lung,left_upper_lobe,VOI-08.2,2.22,5,3843,3843,7466,4058,8465,220.52546686800002
FO-20-129_lung_left_upper_lobe_VOI-03b-bis_2.2um_bm05,FO-20-129,lung,left_upper_lobe,VOI-03b-bis,2.2,5,3703,3703,7281,10655,34421,199.67718745800002
FO-20-129_lung_left_upper_lobe_VOI-aa-bis_2.2um_bm05,FO-20-129,lung,left_upper_lobe,VOI-aa-bis,2.2,5,3703,3703,17278,7380,16425,473.83909420400005
FO-20-129_lung_left_upper_lobe_complete-upper-lobe-bis_25.25um_bm05,FO-20-129,lung,left_upper_lobe,complete-upper-lobe-bis,25.25,5,3796,2903,5700,8245,29777,125.62558320000001
FO-20-129_lung_left_upper_lobe_complete-upper-lobe_26.38um_bm05,FO-20-129,lung,left_upper_lobe,complete-upper-lobe,26.38,5,3629,2724,5413,52962,58138,107.019297096
FO-20-129_lung_left_upper_lobe_VOI-01_6.24um_bm05,FO-20-129,lung,left_upper_lobe,VOI-01,6.24,5,3840,3840,21556,13849,31712,635.7123072
FO-20-129_lung_left_upper_lobe_VOI-03_6.24um_bm05,FO-20-129,lung,left_upper_lobe,VOI-03,6.24,5,3842,3842,14224,17314,35417,419.919903872
FO-20-129_lung_left_upper_lobe_VOI-04_6.24um_bm05,FO-20-129,lung,left_upper_lobe,VOI-04,6.24,5,3843,3843,5200,10673,23044,153.5939496
FO-20-129_lung_left_upper_lobe_VOI-04-bis_6.5um_bm05,FO-20-129,lung,left_upper_lobe,VOI-04-bis,6.5,5,3785,3785,5872,13795,31538,168.2471864
FO-20-129_lung_right_upper_lobe_core-biopsy_2.25um_bm05,FO-20-129,lung,right_upper_lobe,core-biopsy,2.25,5,3621,3621,6291,2880,5377,164.97066706200002
GLR-163_lung_right_lower_lobe_core-biopsy_2.45um_bm05,GLR-163,lung,right_lower_lobe,core-biopsy,2.45,5,3893,3893,4141,14199,28254,125.51742861800001
LADAF-2020-27_heart_L-vent-muscle_2.22um_bm05,LADAF-2020-27,heart,,L-vent-muscle,2.22,5,3775,3775,12890,25660,35923,367.38111250000003
LADAF-2020-27_heart_complete-organ_25.08um_bm05,LADAF-2020-27,heart,,complete-organ,25.08,5,5792,5792,6613,22695,26334,443.69611366400005
LADAF-2020-27_heart_LR-vent-muscles-ramus-interventricularis-anterior_6.05um_bm05,LADAF-2020-27,heart,,LR-vent-muscles-ramus-interventricularis-anterior,6.05,5,3827,3827,10022,22136,25560,293.56300087600005
LADAF-2020-27_kidney_left_central-column_1.29um_bm05,LADAF-2020-27,kidney,left,central-column,1.29,5,3847,3847,11010,24572,27468,325.88298618000005
LADAF-2020-27_kidney_left_complete-organ_25.08um_bm05,LADAF-2020-27,kidney,left,complete-organ,25.08,5,3412,3020,2829,17549,21593,58.301389920000005
LADAF-2020-27_kidney_left_central-column_6.05um_bm05,LADAF-2020-27,kidney,left,central-column,6.05,5,3795,3795,7540,11179,20929,217.18253700000002
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_2.45um_bm05,LADAF-2020-27,lung,left,VOI-01-upper-lobe-apical,2.45,5,3815,3815,3479,19456,37967,101.26829755
LADAF-2020-27_lung_left_VOI-02-lower-lobe-basal_2.45um_bm05,LADAF-2020-27,lung,left,VOI-02-lower-lobe-basal,2.45,5,3809,3809,4908,11357,29938,142.415249496
LADAF-2020-27_lung_left_VOI-06-lower-lobe-basal_2.45um_bm05,LADAF-2020-27,lung,left,VOI-06-lower-lobe-basal,2.45,5,3809,3809,2048,14710,40222,59.426738176
LADAF-2020-27_lung_left_FSC-A_2.51um_bm05,LADAF-2020-27,lung,left,FSC-A,2.51,5,2742,2648,2550,16648,39717,37.0301616
LADAF-2020-27_lung_left_FSC-B_2.51um_bm05,LADAF-2020-27,lung,left,FSC-B,2.51,5,2742,2648,2550,16537,40056,37.0301616
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_2.5um_bm05,LADAF-2020-27,lung,left,VOI-01-upper-lobe-apical,2.5,5,3877,3877,12800,3736,7687,384.7969024
LADAF-2020-27_lung_left_VOI-02b-upper-lobe-apical_2.5um_bm05,LADAF-2020-27,lung,left,VOI-02b-upper-lobe-apical,2.5,5,3879,3879,5600,5937,9556,168.52237920000002
LADAF-2020-27_lung_left_VOI-03-upper-lobe-apical_2.5um_bm05,LADAF-2020-27,lung,left,VOI-03-upper-lobe-apical,2.5,5,3877,3877,5600,18039,35928,168.34864480000002
LADAF-2020-27_lung_left_VOI-04-upper-lobe-medial_2.5um_bm05,LADAF-2020-27,lung,left,VOI-04-upper-lobe-medial,2.5,5,3875,3875,5600,3009,7352,168.175
LADAF-2020-27_lung_left_VOI-05-lower-lobe-basal_2.5um_bm05,LADAF-2020-27,lung,left,VOI-05-lower-lobe-basal,2.5,5,3867,3867,15300,4353,7927,457.5828834
LADAF-2020-27_lung_left_complete-organ_25.08um_bm05,LADAF-2020-27,lung,left,complete-organ,25.08,5,5984,5984,8712,19516,21139,623.923052544
LADAF-2020-27_lung_left_FSC-A_25.25um_bm05,LADAF-2020-27,lung,left,FSC-A,25.25,5,2564,2005,247,2528,6996,2.53956508
LADAF-2020-27_lung_left_FSC-B_25.25um_bm05,LADAF-2020-27,lung,left,FSC-B,25.25,5,2564,2005,247,2435,6933,2.53956508
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_6.05um_bm05,LADAF-2020-27,lung,left,VOI-01-upper-lobe-apical,6.05,5,3821,3821,1259,9692,33163,36.762903238
LADAF-2020-27_lung_left_VOI-02-lower-lobe-basal_6.05um_bm05,LADAF-2020-27,lung,left,VOI-02-lower-lobe-basal,6.05,5,3818,3818,6969,1987,6526,203.17595431200002
LADAF-2020-27_lung_left_VOI-06-lower-lobe-basal_6.05um_bm05,LADAF-2020-27,lung,left,VOI-06-lower-lobe-basal,6.05,5,3815,3815,8111,3659,7330,236.09863795
LADAF-2020-27_lung_left_FSC-A_6.5um_bm05,LADAF-2020-27,lung,left,FSC-A,6.5,5,2677,2659,990,3488,8146,14.093923140000001
LADAF-2020-27_lung_left_FSC-B_6.5um_bm05,LADAF-2020-27,lung,left,FSC-B,6.5,5,2676,2658,989,3526,8063,14.069134224
LADAF-2020-27_lung_left_VOI-01-upper-lobe-apical_6.5um_bm05,LADAF-2020-27,lung,left,VOI-01-upper-lobe-apical,6.5,5,3855,3855,7504,8024,12078,223.03426320000003
LADAF-2020-27_lung_left_VOI-02b-upper-lobe-medial_6.5um_bm05,LADAF-2020-27,lung,left,VOI-02b-upper-lobe-medial,6.5,5,3853,3853,4113,12592,19828,122.119979634
LADAF-2020-27_lung_left_VOI-03b-interlobular-fissure_6.5um_bm05,LADAF-2020-27,lung,left,VOI-03b-interlobular-fissure,6.5,5,3851,3851,1401,12458,44014,41.554223202
LADAF-2020-27_lung_left_VOI-04b-lower-lobe-basal-medial_6.5um_bm05,LADAF-2020-27,lung,left,VOI-04b-lower-lobe-basal-medial,6.5,5,3855,3855,16317,12215,17307,484.97468985
LADAF-2020-27_lung_left_VOI-05-upper-lobe-apical_6.5um_bm05,LADAF-2020-27,lung,left,VOI-05-upper-lobe-apical,6.5,5,3851,3851,9201,9214,13131,272.905358802
LADAF-2020-27_spleen_central-column_1.29um_bm05,LADAF-2020-27,spleen,,central-column,1.29,5,3823,3823,10982,27852,30408,321.01108615600003
LADAF-2020-27_spleen_complete-organ_25.08um_bm05,LADAF-2020-27,spleen,,complete-organ,25.08,5,2919,2151,1900,28069,33269,23.8593222
LADAF-2020-27_spleen_central-column_6.05um_bm05,LADAF-2020-27,spleen,,central-column,6.05,5,3791,3791,7540,4139,7143,216.72494948000002
LADAF-2020-31_brain_cerebellum_2.45um_bm05,LADAF-2020-31,brain,,cerebellum,2.45,5,3895,3895,6334,14966,30947,192.1865447
LADAF-2020-31_brain_complete-organ_25.08um_bm05,LADAF-2020-31,brain,,complete-organ,25.08,5,5965,5965,6991,15671,24381,497.49668795
LADAF-2020-31_brain_cerebellum-occipital_6.05um_bm05,LADAF-2020-31,brain,,cerebellum-occipital,6.05,5,3867,3867,4678,13047,30883,139.906714284
LADAF-2020-31_kidney_lateral-transect_2.5um_bm05,LADAF-2020-31,kidney,,lateral-transect,2.5,5,3873,15091,1354,0,19230,158.27567564400002
LADAF-2020-31_kidney_complete-organ_25.0um_bm05,LADAF-2020-31,kidney,,complete-organ,25.0,5,2215,3287,4282,13367,33403,62.35195762000001
